filename,label,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
033__[cel][nod][cla]0031__3.wav,cel,-287.41818,181.47986,-21.533033,16.076218,-0.4457262,12.966707,-18.76108,1.4840688,-7.820896,-1.030064,-0.9430309,-3.514171,-8.08429,-2.579348,-6.9129624,-4.416946,-0.21798082,0.7830132,5.379943,3.1632283
038__[cel][nod][cla]0039__1.wav,cel,-428.20474,130.558,-30.576555,17.991629,4.4833856,8.127124,-11.352649,-8.486339,-11.009545,-6.007657,-7.172697,-7.3077793,-3.1497087,3.418738,-3.3641188,-6.4900866,-1.8071722,-1.9434265,-4.182521,-1.7592595
038__[cel][nod][cla]0039__2.wav,cel,-412.41895,134.46132,-45.498875,27.454271,-0.1128229,11.900881,-22.545635,-5.2451854,-12.834177,1.6847928,2.7354438,5.4463954,0.08337497,-1.310461,-21.031235,-23.685076,-9.00761,6.3729467,9.885024,7.7373548
038__[cel][nod][cla]0039__3.wav,cel,-370.73718,211.36841,-2.709186,5.39565,23.845514,16.807749,-7.2567277,-8.310161,-4.363203,0.971735,1.5906624,-0.26052964,-0.89049506,-3.3537753,-9.986843,-13.448361,-9.962536,-12.603421,-12.882685,-7.288889
041__[cel][nod][cla]0023__1.wav,cel,-356.50162,157.72081,-18.42525,13.834744,45.21093,2.7588813,12.186874,-0.35111699,-11.153843,16.228136,-16.58369,29.320112,-11.654762,10.438971,-22.965242,2.0843067,-15.3431425,4.2196264,-6.75649,8.45232
041__[cel][nod][cla]0023__2.wav,cel,-324.4667,167.35878,-10.422178,15.52563,51.303745,-11.958225,6.7907515,-6.575717,-13.73437,3.3043585,-21.415577,11.868505,-16.315693,2.4530141,-14.801802,1.1480595,-12.822096,7.8327494,5.5309854,17.745274
041__[cel][nod][cla]0023__3.wav,cel,-309.37378,167.27115,-14.736283,6.235345,48.25605,-12.269084,9.284061,0.04355147,-4.433824,6.61285,-17.364994,12.837431,-11.872556,4.554266,-12.432924,4.9770856,-11.30707,6.752872,-2.102363,13.002854
042__[cel][nod][cla]0042__1.wav,cel,-368.2629,169.1589,-30.22233,23.439013,0.04761797,23.628721,-13.672452,4.3789062,-10.529093,7.3681884,-1.2108778,0.9437156,-5.281348,-4.239336,-4.9434695,-1.8304962,-2.0921476,-1.6905074,0.638272,-2.7232568
042__[cel][nod][cla]0042__2.wav,cel,-383.6051,165.60876,-33.009766,28.539537,1.4710978,18.928001,-12.3121605,3.9265382,-9.94853,-0.46880844,-4.2906303,-1.2048929,-5.2954745,-9.407515,-5.3354044,3.5775177,-0.102293834,-5.7103834,0.56351274,-1.1495367
042__[cel][nod][cla]0042__3.wav,cel,-413.54883,168.30458,-31.340239,24.977234,10.039677,20.987312,-7.4444413,1.2157866,-8.857107,-0.6720282,-2.9941597,-1.1050258,-8.5803795,-15.798022,-2.351442,6.739835,3.116965,-1.2819121,2.1019378,-0.4361009
043__[cel][nod][cla]0029__1.wav,cel,-355.45016,170.70717,-33.290073,0.7272148,52.437725,-4.110829,-2.664159,-3.615243,-17.496616,11.923042,-18.948479,10.563599,-15.708294,2.8227856,-14.118506,-0.033975728,-17.91626,-0.22921547,-7.8939996,6.046035
043__[cel][nod][cla]0029__2.wav,cel,-358.0967,155.14401,-48.16228,4.125273,53.64898,-10.199949,2.8807533,1.0461466,-14.926048,7.5082517,-21.205761,4.301597,-20.15424,-3.486462,-12.478822,3.540781,-3.5304387,21.076092,17.036366,20.727879
043__[cel][nod][cla]0029__3.wav,cel,-378.32202,167.31,-6.5143876,5.3088737,51.33824,5.044959,2.5210986,-5.7415366,-5.4041286,10.277136,-15.543458,-2.2468355,-8.453179,3.1651485,-10.199642,-3.3765817,-15.477234,-2.8309934,-8.529825,-2.5088522
046__[cel][nod][cla]0034__1.wav,cel,-358.64365,165.0113,-15.847234,6.043238,-6.526891,14.41614,-19.783651,0.71901655,-6.476169,-0.9404521,-2.2681658,-3.8486073,-6.611631,-3.3809032,-10.475528,-8.268616,-2.3122497,-0.110139824,-0.32592142,-3.2433147
046__[cel][nod][cla]0034__2.wav,cel,-314.3184,138.59041,-40.888283,12.564604,-11.303748,12.546359,-21.801224,1.1765957,-11.661542,-6.441355,-6.6050296,-11.440377,-15.96109,-4.76983,-7.38809,-5.28442,-0.26075304,-1.6295093,1.9335177,-3.9577053
046__[cel][nod][cla]0034__3.wav,cel,-328.00308,99.16752,-45.6942,1.8688953,-23.853245,-0.015514418,-35.679764,-0.60273474,2.801206,20.13963,28.759037,17.88972,-7.8167825,-15.593368,-21.715206,0.9377333,22.797491,18.817888,6.372223,-2.3305871
048__[cel][nod][cla]0022__1.wav,cel,-352.11826,200.46564,-4.8247104,31.907797,7.6029243,11.295451,2.2696655,-11.240702,3.162544,8.227464,-8.7584095,-4.3300962,-8.907029,-24.785719,-0.4034182,5.7863035,-8.58806,1.0823823,-3.5662184,-12.620865
048__[cel][nod][cla]0022__2.wav,cel,-367.47928,209.51952,-8.481511,30.512175,2.2786725,10.518343,0.5378565,-13.348339,2.0811086,7.888743,-15.346945,-9.991247,-11.875173,-31.439177,-4.7209425,-0.14142677,-14.587726,-1.6044309,-5.1701508,-13.7772045
048__[cel][nod][cla]0022__3.wav,cel,-370.4882,196.69753,-14.2493,35.762512,-0.8749372,9.862053,-1.399419,-15.450984,-2.992174,3.7034934,-15.861305,-8.74119,-9.315744,-24.019299,-2.1229284,0.5898674,-11.436421,-1.4322115,-4.2774653,-14.484518
056__[cel][nod][cla]0038__1.wav,cel,-545.788,174.37364,-17.632017,25.252274,6.975903,8.85328,-8.608702,-5.441104,-4.8529058,-6.9878674,0.6947225,2.231903,2.408811,-0.032237872,-0.20646237,-4.113905,-9.530091,-4.9807186,-10.121316,-6.7709427
056__[cel][nod][cla]0038__2.wav,cel,-459.61716,166.79546,-33.21649,20.984602,7.233436,0.8961792,-24.36313,-17.997576,-14.60451,-10.768349,0.006742971,3.8625422,6.701811,5.425622,-1.3398485,-5.8877306,-4.75666,-3.3318577,-4.374066,-3.2811353
056__[cel][nod][cla]0038__3.wav,cel,-378.22552,192.669,-40.210457,9.842696,-1.9611018,1.2897536,-13.133876,-10.722383,-12.077148,-10.028113,-8.839922,-6.984219,-4.736163,-5.540645,-6.3731365,-8.22129,-5.913488,-5.937804,-6.063126,-6.4274054
057__[cel][nod][cla]0036__1.wav,cel,-423.55347,218.62883,-11.703285,6.4974694,22.935392,22.226171,-8.978229,-9.819006,-8.3400955,1.6766872,2.1883059,-0.4809258,-0.525339,-4.2964263,-9.226227,-16.43855,-12.615808,-14.451323,-11.374427,-8.945054
057__[cel][nod][cla]0036__2.wav,cel,-432.44147,139.26009,-33.15897,24.689932,8.904599,17.730408,-9.16347,-7.1535983,-7.341743,-0.91760415,-3.1055193,-5.953659,-4.4747825,-2.1382308,-8.229871,-12.762744,-7.155475,3.9694927,6.2317467,5.7879434
057__[cel][nod][cla]0036__3.wav,cel,-530.55334,95.252525,-35.171715,32.45416,-10.525149,20.548655,-22.702475,10.921321,2.6952724,26.329102,4.4966,-3.7730346,-28.856256,-3.2767837,10.689329,27.73905,1.1821858,-5.385155,-15.103343,4.692185
060__[cel][nod][cla]0045__1.wav,cel,-445.6026,173.30252,-21.411652,28.305704,-7.3153353,10.645236,-22.522543,-2.7281117,-16.323772,-0.33429104,-7.6184573,0.010209131,-1.9949626,2.5777464,3.2046497,6.7326455,1.002107,0.72522694,-1.9031583,5.723234
060__[cel][nod][cla]0045__2.wav,cel,-349.67184,135.82263,-26.685825,26.534859,-14.200174,13.170166,-33.552464,-10.107741,-21.799366,4.263804,-10.73931,4.823384,-16.070656,-1.5963917,-1.4506713,6.4544873,0.36561573,-4.399285,3.03355,16.160812
060__[cel][nod][cla]0045__3.wav,cel,-375.29932,168.65636,-35.942955,18.17438,-5.783152,17.43626,-25.941458,-8.124862,-22.393013,-5.1461725,-12.40517,-8.2142315,-13.684796,-5.390973,0.6239103,7.425159,4.4687705,2.1744275,4.9080396,6.0779953
061__[cel][nod][cla]0032__1.wav,cel,-321.819,159.75214,-29.526571,21.836107,-11.181599,26.324589,-21.720652,5.402868,-15.944726,-4.914143,-9.680842,1.1252562,-7.8835073,7.7989507,-1.6331242,0.5918641,-9.030956,-7.615157,-7.559552,-2.276869
061__[cel][nod][cla]0032__2.wav,cel,-406.64185,168.96674,-26.149391,13.656013,-4.1724777,12.788352,-18.193249,2.7614224,-6.931853,-0.10583944,0.21926562,4.2154117,-4.8453174,5.8033075,-4.2011366,-2.0202107,-0.48530003,12.210507,13.209054,14.501521
061__[cel][nod][cla]0032__3.wav,cel,-355.3414,178.0774,-25.818686,27.344711,-5.5935655,20.651838,-19.516787,3.7242045,-10.838473,-2.5366166,-2.2580726,7.187905,-1.203308,5.564134,0.85720956,2.5801558,0.37515962,-1.3092297,-1.2182733,-4.0168777
065__[cel][nod][cla]0059__1.wav,cel,-318.43967,186.2231,-24.452484,24.893324,4.113923,7.1396475,-11.240129,-2.4712348,-3.214518,-4.3551474,3.911044,3.5467167,-0.59593844,-0.17531942,-6.360976,-4.5254126,-3.338114,-7.937142,-1.9404918,-1.2707987
065__[cel][nod][cla]0059__2.wav,cel,-320.16525,187.25024,-31.68379,31.44992,0.36163557,11.50843,-11.278963,1.7575988,-3.6830509,-1.9758602,1.927805,1.736654,-2.9064674,-0.9127196,-6.604228,-1.3665419,2.2954931,0.3902846,5.601276,4.061616
065__[cel][nod][cla]0059__3.wav,cel,-261.07675,153.27412,-32.202713,33.96504,-1.3246919,15.456935,-13.138925,-4.331297,-2.3032374,2.3107905,10.480905,17.502308,9.705845,12.368147,-4.1770926,-12.120792,-14.124265,-8.810731,-0.8188635,1.161388
071__[cel][nod][cla]0053__1.wav,cel,-542.9611,126.804825,5.2391524,18.927616,4.380532,17.860985,-5.6812034,-6.00207,-12.642331,2.908564,-2.461212,8.758636,9.099043,24.015718,10.89472,1.6560496,-13.426238,-8.63454,-6.8442554,3.556871
071__[cel][nod][cla]0053__2.wav,cel,-437.10944,181.83968,3.5433147,8.069272,16.182775,6.3516207,-2.1896,-8.81287,-0.54852474,3.121099,-2.2532818,-7.882787,-7.822833,-4.960566,-5.000688,-7.3921103,-8.396801,-7.223202,-5.6976104,-5.764219
071__[cel][nod][cla]0053__3.wav,cel,-386.33218,208.41766,-5.798358,15.070036,16.19301,9.495441,-3.4970713,-13.227346,-6.0459833,2.7209404,1.077517,-4.6400876,-7.3442683,-7.7749424,-7.3155627,-9.007999,-7.411816,-7.5527306,-5.1419635,-0.97949797
074__[cel][nod][cla]0037__1.wav,cel,-434.65393,202.45952,-14.524439,6.2964582,14.812969,0.5558509,-10.521315,-5.898906,-9.511271,-7.275628,-4.9682937,-7.7429695,-7.209603,-6.1399984,-10.5422735,-9.929983,-4.7307568,-4.48326,-2.7117429,-3.967139
074__[cel][nod][cla]0037__2.wav,cel,-365.042,175.77786,-33.956112,12.404459,-7.267819,9.800656,-12.705635,-2.068955,-6.124803,-7.3048534,-6.028518,-7.1875186,-1.9882294,6.8180766,2.690947,0.85757506,-0.43663585,-9.713222,-10.657981,-7.055045
074__[cel][nod][cla]0037__3.wav,cel,-387.55652,188.64857,-8.1065645,19.973274,13.952868,12.2885895,-3.2072937,-1.2119879,-0.95446426,-3.7582052,1.6336479,-1.5458468,0.31882903,4.4291787,-2.014433,-7.785601,-6.5221205,-3.0262883,-2.9935553,1.5987349
075__[cel][nod][cla]0021__1.wav,cel,-464.3462,167.9846,-26.71975,12.679409,8.798004,0.10483345,-6.4009743,-6.4986787,-3.900173,-9.005542,-5.3690143,-14.99641,-14.357209,-11.312888,-11.010918,-2.6882234,-5.017137,-4.550596,-3.2097518,-6.1739993
075__[cel][nod][cla]0021__2.wav,cel,-444.8472,191.08705,-26.428621,13.596382,8.549695,4.3649116,-10.757843,-2.573634,-3.1999679,-9.301239,-2.9713912,-16.478199,-16.44913,-12.426395,-9.236373,-3.7508726,-5.914353,-5.2770905,-5.98201,-6.502662
075__[cel][nod][cla]0021__3.wav,cel,-457.83282,168.0969,-41.14814,13.336179,-8.877063,1.3187599,-18.442953,-7.7574863,-10.673929,-18.171242,-8.207506,-9.748317,-13.890522,-8.085664,-2.706238,5.665035,5.592507,3.4085464,0.3902986,2.644107
078__[cel][nod][cla]0052__1.wav,cel,-407.5296,212.93816,3.5352223,12.322565,14.0937195,14.9550495,-3.5101364,-12.167451,-7.2810526,8.94306,2.6313107,-3.1331642,-6.006891,-2.2288,-6.8559947,-11.175355,-13.449219,-10.191374,-5.42971,-0.7946794
078__[cel][nod][cla]0052__2.wav,cel,-413.88196,219.06787,12.385442,9.945252,20.433212,25.259336,4.1576495,-5.256584,-0.53211766,11.237107,0.19687472,-4.685042,-5.6341343,1.0764136,-5.8709044,-9.615568,-12.180632,-10.959658,-8.448668,-3.510519
078__[cel][nod][cla]0052__3.wav,cel,-505.5535,191.58078,32.632317,9.205266,4.301313,25.94443,-3.1158247,0.8099847,-5.94246,15.868051,1.8228232,6.0676136,-7.86715,5.359374,-4.7516146,1.5184112,-9.45601,-3.2475398,-8.11889,1.6397796
082__[cel][nod][cla]0035__1.wav,cel,-305.39172,139.15018,-43.52735,12.780025,-20.527699,9.174808,-34.28403,-3.960964,-19.858543,-4.996972,-5.3873467,1.4936265,-8.558275,1.187632,-3.4420047,8.362259,10.544945,7.8725276,7.1307244,-0.90015036
082__[cel][nod][cla]0035__2.wav,cel,-412.05258,184.75383,23.773863,12.022636,9.222151,26.353655,-11.059,2.3023984,-3.9451025,5.355892,-5.0753026,-7.4459987,-10.6544285,-6.573276,-10.826707,-9.475078,-8.155284,-2.84509,-4.3235574,-3.0401962
082__[cel][nod][cla]0035__3.wav,cel,-327.0326,142.85577,-46.573647,11.7014675,-20.123716,14.432353,-30.451435,10.967198,-8.859483,3.9940257,-2.420814,1.3163462,-8.5691,0.6804876,-10.670947,-3.5080783,-4.407563,-1.7223749,2.7545407,1.7800943
083__[cel][nod][cla]0056__1.wav,cel,-305.31772,208.40535,-45.480057,9.510528,-13.945359,-1.9172043,-10.071478,-9.618789,-7.265686,-4.9914756,2.793007,-3.9423149,-7.830782,-9.1360235,-4.1314397,-3.4524384,2.7456417,1.9264078,0.4585073,3.4847138
083__[cel][nod][cla]0056__2.wav,cel,-330.80276,178.65013,-25.649677,28.486786,-9.06933,16.686117,-8.489045,-0.13531542,6.1720824,16.377998,13.663139,-8.003536,-15.467471,-12.224403,7.1159406,15.033275,6.54679,-3.5642533,-2.3563561,7.9236507
083__[cel][nod][cla]0056__3.wav,cel,-332.97415,195.9161,-23.866173,21.188705,1.7208798,10.993236,-6.962048,-6.2481666,-4.091824,-1.7369248,2.7794619,-2.3492587,-3.2832909,-3.1616366,-3.311003,-6.753169,-3.0346172,-2.900096,0.096894756,-0.4096085
088__[cel][nod][cla]0044__1.wav,cel,-375.21082,158.71165,-35.92751,17.206411,-6.1566925,12.339285,-14.800842,-1.1332805,-14.270524,-2.5238895,-6.2106075,-3.003712,-7.783784,-5.326024,-6.0179844,-2.1610928,-3.7009344,-1.6096507,6.7085495,13.142099
088__[cel][nod][cla]0044__2.wav,cel,-383.43076,157.39557,-39.70312,12.43412,-7.3357773,15.326837,-14.532703,-0.33348477,-15.378554,-1.9165977,-7.1461496,0.6537506,-6.3921585,-8.783263,-6.9298024,-0.55439335,2.8521626,4.159234,13.211428,16.359673
088__[cel][nod][cla]0044__3.wav,cel,-376.23886,170.5072,-19.837158,13.75581,12.031512,13.2731,-8.111811,-6.7184854,-7.8172855,-4.0757046,-4.5487113,-1.9926487,-2.6292748,-10.60344,-7.2680335,-3.8254998,-6.4112782,-6.2303953,-0.8438166,-0.52859557
089__[cel][nod][cla]0026__1.wav,cel,-395.1487,177.84975,-46.97652,15.695096,26.698288,-8.580617,-1.3237674,-14.066953,-7.8637247,3.7445788,-9.191921,9.225025,-14.620996,2.8924513,-17.361128,5.290089,-4.054266,14.212274,8.411791,16.765617
089__[cel][nod][cla]0026__2.wav,cel,-396.65665,175.82753,-44.884773,16.214725,26.774076,-10.071058,-1.691842,-14.81811,-6.0245886,4.839084,-10.415646,7.6694474,-11.704965,5.9256835,-18.085209,1.9782609,-8.066169,8.234107,5.122195,17.97823
089__[cel][nod][cla]0026__3.wav,cel,-362.10645,193.81726,-38.84541,15.617327,34.342384,-8.351125,1.2664762,-12.54163,-3.2480543,3.1795065,-7.1532845,2.5165133,-10.628237,-7.139161,-17.222197,-2.334382,-2.622961,9.000426,5.4257793,13.7593355
090__[cel][nod][cla]0024__1.wav,cel,-388.39346,128.98186,-22.678928,29.294239,31.234053,-17.763903,9.647719,-16.062847,-23.087439,6.534418,-23.733961,10.086929,-18.821787,8.780298,-4.2686396,15.437404,-0.9915928,4.912823,-10.720964,2.661788
090__[cel][nod][cla]0024__2.wav,cel,-399.38736,129.78813,-29.788292,35.648853,25.566364,-12.104945,4.454867,-10.30995,-28.676096,10.390258,-27.195679,19.736555,-11.831269,23.718435,-4.631549,12.181812,-15.447146,0.46699625,-12.721719,10.005599
090__[cel][nod][cla]0024__3.wav,cel,-414.428,116.28891,-27.418793,41.06863,31.374115,-9.235585,13.847886,-4.0521545,-22.900658,10.391038,-25.738882,10.277154,-22.108294,7.6139984,-12.4944515,8.644751,-5.05862,14.261939,2.5957744,17.01125
101__[cel][nod][cla]0054__1.wav,cel,-453.8783,179.73694,2.768422,12.523004,9.432967,11.91419,-5.637394,-8.609385,-8.530266,10.073464,-0.6267788,-3.0302699,-12.440912,-3.8265855,-8.356944,-6.594929,-11.355597,-7.5257998,-8.0460205,-3.4464197
101__[cel][nod][cla]0054__2.wav,cel,-545.73883,148.67822,29.117157,19.556454,7.6620436,19.583746,-9.104703,-3.1660085,-14.612642,5.5474577,-3.874465,6.6129966,-5.5245514,3.8367896,-10.125624,-4.4710402,-12.104419,-1.6232747,-6.55359,0.68974346
101__[cel][nod][cla]0054__3.wav,cel,-407.75,149.18193,-23.977913,11.942078,-3.48351,6.543603,-5.8228292,-16.812906,-8.889827,-5.5252733,-5.845878,-8.973225,-5.753385,-3.9962018,-3.3290477,-2.146617,0.08559933,-2.1594841,-1.2254825,2.2429316
106__[cel][nod][cla]0028__1.wav,cel,-352.8732,192.03772,-28.582853,0.025673648,48.03009,3.8825853,1.2715157,-8.289024,-17.780884,1.5954573,-12.081108,-9.202347,-18.492952,-8.645852,-8.0301485,-0.5236457,-12.418023,-5.907599,-4.5538006,-3.98785
106__[cel][nod][cla]0028__2.wav,cel,-363.26096,189.03224,-27.464651,5.1963325,44.915253,-4.107171,-1.3085722,-6.544332,-19.664621,3.052338,-13.650333,-6.559165,-20.269732,-5.9225063,-7.655114,-1.3811117,-12.48429,-0.6928684,1.162569,1.0211862
106__[cel][nod][cla]0028__3.wav,cel,-366.07596,192.17438,-27.66093,3.818851,42.0265,0.5632604,0.23406172,0.7827491,-19.214455,1.6127785,-17.977877,-1.9428957,-19.205193,-0.15061332,-5.9811635,3.938199,-10.6921,0.23375268,-8.881048,-7.5577736
114__[cel][nod][cla]0049__1.wav,cel,-361.86136,197.6339,-22.398159,24.104593,-4.3980107,14.457898,-12.351474,-13.199018,-8.579482,-2.1489244,-5.474138,-7.673041,-9.427163,-6.853837,-4.839788,-4.9736185,-3.952886,-7.967945,-2.1827078,-0.80206025
114__[cel][nod][cla]0049__2.wav,cel,-343.89413,187.86993,-28.230993,29.576542,-7.995581,20.880518,-12.19125,-6.937445,-8.759154,0.35047603,-3.5510514,-3.923362,-9.400294,-5.9385653,-5.0582204,-6.8337746,-2.8468459,-6.0719028,-0.55510134,1.544212
114__[cel][nod][cla]0049__3.wav,cel,-391.0753,189.35403,-24.727728,14.843232,-4.7316256,13.99982,-5.9213142,-2.2338047,-12.333534,-7.8207154,-5.644712,-2.083026,-5.833306,-2.6337943,0.30334166,4.847769,5.5777903,2.0178177,-4.8283343,-6.667257
115__[cel][nod][cla]0055__1.wav,cel,-430.2886,184.45753,-11.286928,8.218363,10.649177,9.114067,-7.570054,-11.932689,-7.3670216,11.055375,0.0820838,-4.645328,-11.840186,-2.609773,-6.696768,-10.89456,-15.712561,-9.162551,-5.656325,-2.6927683
115__[cel][nod][cla]0055__2.wav,cel,-436.97003,211.06816,19.581137,6.9001803,15.882622,28.762814,-1.649514,-3.832756,-6.6533155,10.022291,-1.9468821,0.92209476,-6.2702146,4.2330074,-5.324728,-3.6451097,-8.816343,-3.8375952,-7.4556518,-1.7515193
115__[cel][nod][cla]0055__3.wav,cel,-501.03348,188.49886,36.391308,6.456851,4.3863516,28.209988,-1.0929751,-0.31027928,-7.1705914,13.645083,-0.8085009,1.0937598,-10.915569,2.4085681,-7.724978,-2.636065,-10.525425,-3.1286993,-9.627646,-0.8669165
